Pieturas nosaukums,Pieturas kods,Vienotais kods,Platums,Garums,Ce?a puse,Ce?a numurs,Iela,Novads,Pagasts,Ciemats
Jurki,6702,5241,56.5474997,27.3138022,Kreis?,A12,,R?zeknes novads,V?r?mu pagasts,
An?up?ni,6703,5242,56.5490018,27.3313486,Lab?,A12,,R?zeknes novads,V?r?mu pagasts,
An?up?ni,6704,5242,56.5492041,27.3301951,Kreis?,A12,,R?zeknes novads,V?r?mu pagasts,
Krustojums ,6705,5243,56.544728,27.3521877,Kreis?,A12,,R?zeknes novads,V?r?mu pagasts,
Krustojums ,6706,5243,56.5437434,27.3565474,Lab?,A12,,R?zeknes novads,V?r?mu pagasts,
Obricki,6707,5244,56.5346902,27.3961809,Kreis?,A12,,R?zeknes novads,V?r?mu pagasts,
Obricki,6708,5244,56.53382,27.3977085,Lab?,A12,,R?zeknes novads,V?r?mu pagasts,
Litaunieki,6709,5245,56.5206607,27.4078872,Kreis?,A12,,R?zeknes novads,Grišk?nu pagasts,
Litaunieki,6710,5245,56.5201201,27.4084447,Lab?,A12,,R?zeknes novads,Grišk?nu pagasts,
Veikals,6711,5246,56.5145507,27.4241448,Lab?,A12,,R?zeknes novads,Grišk?nu pagasts,Greišk?ni
Veikals,6712,5246,56.5146159,27.423752,Kreis?,A12,,R?zeknes novads,Grišk?nu pagasts,Greišk?ni
Taudej??i,6713,5247,56.5102645,27.437342,Kreis?,A12,,R?zeknes novads,Grišk?nu pagasts,
Taudej??i,6714,5247,56.5098904,27.4381406,Lab?,A12,,R?zeknes novads,Grišk?nu pagasts,
Laduši,6715,5248,56.5116452,27.4534116,Lab?,A12,,R?zeknes novads,Grišk?nu pagasts,
Laduši,6716,5248,56.5116353,27.4539629,Kreis?,A12,,R?zeknes novads,Grišk?nu pagasts,
Košeleva,6718,5249,56.5146772,27.4711737,Kreis?,A12,,R?zeknes novads,Grišk?nu pagasts,
Stolbovka,6719,5250,56.5135726,27.4802139,Lab?,A12,,R?zeknes novads,Grišk?nu pagasts,
Stolbovka,6720,5250,56.513535,27.4801651,Kreis?,A12,,R?zeknes novads,Grišk?nu pagasts,
Vonogova,6721,5251,56.6553167,27.5039511,Lab?,A13,,R?zeknes novads,B?rzgales pagasts,
?ervonka,6722,5252,56.6421062,27.4835617,Lab?,A13,,R?zeknes novads,B?rzgales pagasts,
Bakovka,6723,5253,56.6304431,27.4656979,Lab?,A13,,R?zeknes novads,B?rzgales pagasts,
Bakovka,6724,5253,56.6300372,27.4647656,Kreis?,A13,,R?zeknes novads,B?rzgales pagasts,
Marient?le,6725,5254,56.61585,27.4492779,Lab?,A13,,R?zeknes novads,B?rzgales pagasts,
Kozlovka,6726,5255,56.6027965,27.428889,Lab?,A13,,R?zeknes novads,B?rzgales pagasts,
Kozlovka,6727,5255,56.602454,27.4279531,Kreis?,A13,,R?zeknes novads,B?rzgales pagasts,
Purma?i,6728,5256,56.5922033,27.4119843,Kreis?,A13,,R?zeknes novads,V?r?mu pagasts,
T?muži,6729,5257,56.5823402,27.3914284,Lab?,A13,,R?zeknes novads,V?r?mu pagasts,T?muži
Adamova,6732,5259,56.560139,27.3637551,Lab?,A13,,R?zeknes novads,V?r?mu pagasts,
Krievi?i,6733,5260,56.5491389,27.3570244,Lab?,A13,,R?zeknes novads,V?r?mu pagasts,
Krievi?i,6734,5260,56.5484776,27.3563582,Kreis?,A13,,R?zeknes novads,V?r?mu pagasts,
T?vi?i,6735,5261,56.4831729,27.3089819,Lab?,A13,,R?zeknes novads,Ozolaines pagasts,
T?vi?i,6736,5261,56.4824118,27.3074766,Kreis?,A13,,R?zeknes novads,Ozolaines pagasts,
Riti?i,6737,5262,56.4784019,27.3016659,Lab?,A13,,R?zeknes novads,Ozolaines pagasts,
Riti?i,6738,5262,56.478143,27.3008635,Kreis?,A13,,R?zeknes novads,Ozolaines pagasts,
Bumbiški,6739,5263,56.4686085,27.2866616,Kreis?,A13,,R?zeknes novads,Ozolaines pagasts,
O?hovka,6740,5264,56.4561634,27.2725014,Lab?,A13,,R?zeknes novads,Ozolaines pagasts,
O?hovka,6741,5264,56.4558024,27.271733,Kreis?,A13,,R?zeknes novads,Ozolaines pagasts,
Ozolaine,6742,5265,56.4495374,27.2643446,Lab?,A13,,R?zeknes novads,Ozolaines pagasts,Balbiši
Ozolaine,6743,5265,56.4492118,27.263691,Kreis?,A13,,R?zeknes novads,Ozolaines pagasts,Balbiši
Andronova,6744,5266,56.4245926,27.2468803,Lab?,A13,,R?zeknes novads,Ozolaines pagasts,
Andronova,6745,5266,56.4240202,27.2458569,Kreis?,A13,,R?zeknes novads,Ozolaines pagasts,
P?poli,6746,5267,56.4120088,27.2326456,Lab?,A13,,R?zeknes novads,Ozolaines pagasts,Bekši
P?poli,6747,5267,56.4117403,27.2320279,Kreis?,A13,,R?zeknes novads,Ozolaines pagasts,Bekši
Berjozovka,6748,5268,56.3916347,27.2130292,Lab?,A13,,R?zeknes novads,L?znavas pagasts,
Berjozovka,6749,5268,56.3915721,27.2128555,Kreis?,A13,,R?zeknes novads,L?znavas pagasts,
Vertukšne,6750,5269,56.3676691,27.1852954,Lab?,A13,E262 2,R?zeknes novads,L?znavas pagasts,Vertukšne
Pried?te,6752,5270,56.3477878,27.1658249,Lab?,A13,E262 81-83,R?zeknes novads,Maltas pagasts,Malta
Pried?te,6753,5270,56.3481367,27.16621,Kreis?,A13,E262 81-83,R?zeknes novads,Maltas pagasts,Malta
Malta,6754,5271,56.3449456,27.1608177,Lab?,A13,E262 52-64,R?zeknes novads,Maltas pagasts,Malta
Malta,6755,5271,56.3449342,27.1606964,Kreis?,A13,1. maija iela 52-56,R?zeknes novads,Maltas pagasts,Malta
Garkalni,6756,5272,56.326408,27.1271074,Lab?,A13,,R?zeknes novads,Maltas pagasts,
Garkalni,6757,5272,56.3262273,27.1264006,Kreis?,A13,,R?zeknes novads,Maltas pagasts,
Vainovas pagrieziens,6758,5273,56.3028007,27.1000965,Kreis?,A13,,R?zeknes novads,Feima?u pagasts,
Kr?ce,6759,5274,56.2701331,27.0681913,Kreis?,A13,,R?zeknes novads,Feima?u pagasts,
Rušenica,6760,5275,56.2248456,27.0262277,Lab?,A13,,R?zeknes novads,Feima?u pagasts,
Rušenica,6761,5275,56.2249498,27.0264628,Kreis?,A13,,R?zeknes novads,Feima?u pagasts,
Makarovka,6762,5276,56.5317504,27.3134124,Lab?,P36,,R?zeknes novads,V?r?mu pagasts,
Makarovka,6763,5276,56.5317504,27.3134124,Kreis?,P36,,R?zeknes novads,V?r?mu pagasts,
Greivu?i,6764,5277,56.5400506,27.3005413,Kreis?,P36,,R?zeknes novads,Audri?u pagasts,
Greivu?i,6765,5277,56.5411951,27.2997524,Lab?,P36,,R?zeknes novads,V?r?mu pagasts,
Ka?vi,6766,5278,56.5464094,27.2922548,Lab?,P36,,R?zeknes novads,Audri?u pagasts,
Ka?vi,6767,5278,56.5464094,27.2922548,Kreis?,P36,,R?zeknes novads,Audri?u pagasts,
Zelti?i,6768,5279,56.5537529,27.2850571,Lab?,P36,,R?zeknes novads,V?r?mu pagasts,
Zelti?i,6769,5279,56.5542756,27.2848427,Kreis?,P36,,R?zeknes novads,V?r?mu pagasts,
Deneliški,6770,5280,56.4761193,27.0904881,Lab?,V580,,R?zeknes novads,Silmalas pagasts,
Deneliški,6771,5280,56.4761193,27.0904881,Kreis?,V580,,R?zeknes novads,Silmalas pagasts,
Silinieki,6772,5281,56.5750492,27.263106,Lab?,P36,,R?zeknes novads,Audri?u pagasts,
Silinieki,6773,5281,56.5754587,27.2627423,Kreis?,P36,,R?zeknes novads,Audri?u pagasts,
Audri?i,6774,5282,56.5888493,27.2446795,Lab?,P36,,R?zeknes novads,Audri?u pagasts,Audri?i
Audri?i,6775,5282,56.5892652,27.2446468,Kreis?,P36,Piemi?as iela 1,R?zeknes novads,Audri?u pagasts,Audri?i
Krivomaizi,6776,5283,56.5978225,27.234034,Lab?,P36,,R?zeknes novads,Audri?u pagasts,
Krivomaizi,6777,5283,56.5982569,27.2337871,Kreis?,P36,,R?zeknes novads,Audri?u pagasts,
Puderova,6778,5284,56.6089308,27.219089,Lab?,P36,,R?zeknes novads,Audri?u pagasts,
Puderova,6779,5284,56.6094496,27.2184145,Kreis?,P36,,R?zeknes novads,Audri?u pagasts,
Kaula?i,6780,5285,56.6229717,27.1981513,Lab?,P36,,R?zeknes novads,Audri?u pagasts,
Kaula?i,6781,5285,56.62346,27.1979815,Kreis?,P36,,R?zeknes novads,Dric?nu pagasts,
Zahari,6782,5286,56.6437726,27.1875189,Lab?,P36,,R?zeknes novads,Dric?nu pagasts,
Zahari,6783,5286,56.644931,27.1872551,Kreis?,P36,,R?zeknes novads,Dric?nu pagasts,
Dric?ni,6784,5287,56.6502328,27.1839413,Lab?,P36,,R?zeknes novads,Dric?nu pagasts,Dric?ni
Dric?ni,6785,5287,56.6522052,27.1836978,Kreis?,P36,,R?zeknes novads,Dric?nu pagasts,
